%name       obsNum      type     dRa(mas)     dDe(mas)
0902+290         4      none      -0.0780      -0.0627
0908+340         5      none      -0.0208       0.0158
0916+336         5      none       0.0117      -0.1338
0920+284         5      none      -0.0581       0.0437
0922+316         5      none       0.0438       0.0755
0937+262         5      none       0.0455      -0.1585
0951+268       110    define       0.0101      -0.0077
0955+326        82      none       0.0081       0.0161
0958+294         5      none       0.0273       0.0461
0958+346        96      none      -0.0559       0.0196
1001+329         5      none      -0.1459      -0.3997
1007+337         4      none       0.1176       0.0189
1018+348         5      none       0.1267      -0.0193
1034+288         5      none      -0.0182       0.0105
1040+244       490    define       0.0119       0.0148
1048+347         5      none       0.1809       0.0501
1059+282       223    define       0.2455      -0.0557
1100+305         4      none       0.1133      -0.0089
1128+308         5      none      -0.3023       0.1115
1145+268       246      none      -0.0191       0.0349
1147+245        84      none       0.0172       0.0033
1155+251        13      none       0.0241       0.0657
1204+281         5      none       0.0008       0.0237
1207+260         5      none       0.0165      -0.0227
1211+334         5      none       0.0079       0.1443
1215+303        80      none       0.0375       0.0503
1217+348         5      none       0.1457       0.0334
1219+285        20      none       0.0606       0.0131
1225+317         5      none       0.1081      -0.1032
1227+255        22    define       0.0278       0.1387
1238+243         5      none      -0.3056       0.7373
1255+327         5      none       0.0846      -0.0633
   OP326        22      none      -0.0091       0.0499
1323+321         6      none      -4.0256       1.2197
1327+321         4      none       0.0067       0.0085
   3C286        15      none      -0.4525      -0.1137
1330+276         5      none       0.0795      -0.0429
1338+285         5      none      -0.0465       0.0492
1339+274         5      none      -0.1201       0.1304
1348+308        83    define       0.0106       0.0163
1404+347         5      none       0.0007       0.2678
1413+349         8      none       0.1282       0.2372
1417+273        46      none       0.0467      -0.0429
1433+304         6      none       0.1330       0.0307
1439+327         5      none      -0.1034      -0.1545
1451+270         6      none      -0.0082       0.0199
1502+330         5      none       0.0987       0.1558
1502+291         4      none       0.0377       0.0184
1520+319       346    define       0.0192       0.0310
1525+314         5      none      -0.0904       0.1585
1537+279         4      none      -0.0099       0.0363
1542+328         5      none       0.0110       0.1470
1600+335        56      none      -0.0105       0.0081
1603+301         5      none      -0.0603      -0.0556
1604+315         5      none       0.0062       0.0288
1604+274         5      none      -0.0545       0.0280
1608+243       120    define       0.0205       0.0720
1640+254         5      none       0.1824       0.1267
1642+256         5      none       0.0186       0.0160
1645+271         5      none       0.0212       0.1372
1651+312         4      none       0.0523       0.0862
1656+348        15      none       0.1965      -0.0407
1657+265         6      none       0.1409       0.0256
1720+282         6      none       0.0968      -0.0055
1720+250         6      none      -0.0322       0.5940
1722+330       108      none       0.0588      -0.0658
1736+324        44      none       0.0716       0.0301
1737+339         5      none       0.0719      -0.0390
1746+340         5      none      -0.0436      -0.1431
1751+288       930    define       0.0842       0.0840
1807+279         4      none       0.0337       0.0179
1811+298         5      none       0.1881      -0.4461
1814+349         5      none      -0.4087       0.7596
1825+344         5      none       0.0388      -0.0352
1825+269         5      none       0.0073       0.1052
1829+290         5      none      -1.0868       0.7188
1830+285        22      none       0.0495       0.0159
1833+326         5      none       0.0543       0.0319
1846+322      1007    define       0.0700      -0.0198
1846+326         6      none      -0.1697      -0.0580
1847+303         6      none       0.0929      -0.2949
1848+283         8      none       0.2400       0.1610
1858+273         5      none       0.0422       0.0500
1858+269         5      none       0.0216       0.1068
1909+268         5      none       0.2742       0.3093
1927+256         8      none       0.0948       0.0105
1929+312         5      none       0.0257      -0.4873
2013+340         5      none       0.1065       0.5343
2021+317        36      none       0.0258      -0.0280
2023+336         9      none       0.4072       0.0884
     CL4        14      none       0.0955      -0.2654
2112+283         8      none      -0.0083       0.0012
2155+312       166    define       0.0332      -0.0346
2209+328         5      none      -0.0182      -0.0277
2214+307         5      none      -0.0042      -0.1086
2214+241        76      none      -0.0187       0.2951
2215+316         5      none       0.0134      -0.0168
2217+259         5      none       0.1301       0.1950
2251+244         5      none       0.1684       0.0152
2304+322         5      none      -0.0181       0.0156
2319+272        31      none       0.0944      -0.0787
2327+335         4      none      -0.0642       0.1245
2328+316         5      none      -0.1692       0.0312
2337+264         9      none       0.1679      -0.1003
2136+141      1180      none       0.0258      -0.0102
2358+406         5      none       4.0019      -5.7451
0003+380        27      none       0.0512      -0.0250
0006+397         5      none      -0.1817       0.0917
0010+405       101    define       0.0090      -0.0388
0022+390         5      none      -0.2376       0.1976
0035+367         5      none       0.0289       0.1317
0035+413        59      none      -0.0172      -0.0401
0044+387         5      none       0.0733      -0.1599
0049+437         5      none      -0.0263      -0.1962
0108+388        11      none      -0.1498       0.0174
0109+351         5      none       0.0773      -0.0834
0129+431         5      none      -0.0729      -0.1364
0140+412         5      none      -0.0097      -0.2764
0145+386         5      none      -0.0496      -0.0968
0149+370         5      none       0.0248      -0.1121
0159+418         4      none       0.0571      -0.1592
0201+438         5      none       0.1024      -0.1213
0201+365         5      none       0.1092       0.0703
0227+403        24    define       0.0477      -0.0386
0248+430        20      none      -0.2322       0.1051
0249+383         5      none       0.0451      -0.0555
0251+393         4      none      -0.0527      -0.0352
0256+423         5      none       0.3678      -0.1401
0307+380       498    define      -0.0209      -0.0353
0309+411        69      none       0.0020       0.0152
    3C84        74      none      -0.0619       1.4609
0318+438         5      none       0.6679      -0.1511
0327+364         5      none      -0.0632       0.0946
0340+362       195      none      -0.1205      -0.0299
0402+379         5      none      -0.9225      -0.0788
0415+398       186    define      -0.0209      -0.0379
0420+417        40      none      -0.0268      -0.0887
0424+414         5      none       0.0061      -0.0922
